X;Y;NRO_BANCO;NOMBRE;OBJETO;SUCURSAL;BARRIO;COMUNA;FUNCION;TELEFONO;DETALLE;DIRECCION
-58.46486434;-34.60267516;5;HSBC;Banco;Capital federal;PATERNAL;15;Visual y Audio;;;SAN MARTIN AV. 2799
-58.44070294;-34.59837421;3;ICBC;Banco;Villa Crespo;VILLA CRESPO;15;Visual y Audio;;;CORRIENTES AV. 5386
-58.44595264;-34.60727645;7;Banco Patagonia;Banco;CABA;VILLA CRESPO;15;Visual y Audio;;;GAONA AV. 1129
-58.44061384;-34.59845689;7;Banco Patagonia;Banco;CABA;VILLA CRESPO;15;Visual y Audio;;;CORRIENTES AV. 5376
-58.49270429;-34.60318873;2;Comafi;Banco;Villa del Parque;VILLA DEL PARQUE;11;Visual y Audio;4503-3517;;NOGOYA 3135
-58.49785555;-34.59761007;5;HSBC;Banco;Capital federal;VILLA DEL PARQUE;11;Visual y Audio;;;CUENCA 3479
-58.41844678;-34.60324558;3;ICBC;Banco;Almagro;ALMAGRO;5;Visual y Audio;;;CORRIENTES AV. 3829
-58.4244709;-34.60300756;1;Macro;Banco;Almagro;ALMAGRO;5;Visual y Audio;;Ingreso a nivel;CORRIENTES AV. 4222
-58.42693464;-34.61428495;4;Santander Rio;Banco;Capital federal;ALMAGRO;5;Visual y Audio;;;RIVADAVIA AV. 4364
-58.43064676;-34.60238936;4;Santander Rio;Banco;Capital federal;ALMAGRO;5;Visual, audio y rampa;;;CORRIENTES AV. 4626
-58.42871261;-34.61654711;4;Santander Rio;Banco;Capital federal;ALMAGRO;5;Visual y Audio;;;LA PLATA AV. 140
-58.41826279;-34.61082561;4;Santander Rio;Banco;Capital federal;ALMAGRO;5;Visual y Audio;;;RIVADAVIA AV. 3681
-58.42481472;-34.60662201;5;HSBC;Banco;Capital federal;ALMAGRO;5;Visual, audio y rampa;;;GASCON 450
-58.42474798;-34.6057807;5;HSBC;Banco;Capital federal;ALMAGRO;5;Visual y Audio;;;PERON, JUAN DOMINGO, TTE. GENERAL 4111
-58.4286506;-34.60854384;7;Banco Patagonia;Banco;CABA;ALMAGRO;5;Visual y Audio;;;DIAZ VELEZ AV. 4363
-58.42344427;-34.61274108;7;Banco Patagonia;Banco;CABA;ALMAGRO;5;Visual y Audio;;;RIVADAVIA AV. 4100
-58.44000828;-34.61967269;1;Macro;Banco;Capital federal;CABALLITO;6;Visual y Audio;;Ingreso a nivel;RIVADAVIA AV. 5273
-58.43996804;-34.62006409;2;Comafi;Banco;Caballito;CABALLITO;6;Visual y Audio;;;RIVADAVIA AV. 5288
-58.43939857;-34.6198113;3;ICBC;Banco;Caballito;CABALLITO;6;Visual y Audio;;;RIVADAVIA AV. 5240
-58.43876293;-34.61911985;4;Santander Rio;Banco;Capital federal;CABALLITO;6;Visual y Audio;;;RIVADAVIA AV. 5173
-58.43988051;-34.62068978;4;Santander Rio;Banco;Capital federal;CABALLITO;6;Visual y Audio;;;ROSARIO 804
-58.43751413;-34.61856546;5;HSBC;Banco;Capital federal;CABALLITO;6;Visual y Audio;;;RIVADAVIA AV. 5075
-58.50243137;-34.61820829;4;Santander Rio;Banco;Floresta;MONTE CASTRO;10;Visual y Audio;;;ALVAREZ JONTE AV. 4502
-58.50511712;-34.6196329;7;Banco Patagonia;Banco;CABA;MONTE CASTRO;10;Visual y Audio;;;ALVAREZ JONTE AV. 4740
-58.52741277;-34.61552926;7;Banco Patagonia;Banco;CABA;VILLA REAL;10;Visual y Audio;;;BEIRO, FRANCISCO AV. 5491
-58.4547325;-34.62570486;1;Macro;Banco;Capital federal;FLORES;7;Visual y Audio;;Ingreso a nivel;RIVADAVIA AV. 6245
-58.46069292;-34.62844071;2;Comafi;Banco;Flores;FLORES;7;Visual y Audio;4633-0440;;RIVADAVIA AV. 6770
-58.45484431;-34.63184073;4;Santander Rio;Banco;Capital federal;FLORES;7;Visual y Audio;;;DIRECTORIO AV. 1950
-58.46035621;-34.62832619;7;Banco Patagonia;Banco;CABA;FLORES;7;Visual y Audio;;;RIVADAVIA AV. 6744
-58.37840281;-34.62709571;2;Comafi;Banco;Contitución;CONSTITUCION;1;Visual y Audio;;;IRIGOYEN, BERNARDO de 1578
-58.41585039;-34.63871322;7;Banco Patagonia;Banco;CABA;BOEDO;5;Visual y Audio;;;CASEROS AV. 3599
