id;alt_ii;alt_if;alt_di;alt_df;tipo_c;nomb_ca_co;st_astext
42974;8702;8800;8701;8799;AVENIDA;AV. DEL LIBERTADOR;MULTILINESTRING((-58.4667598850729 -34.5359273040219,-58.46680694286 -34.5358444816661))
42972;8602;8800;8601;8799;CALLE;LA CACHILA;MULTILINESTRING((-58.4650265140754 -34.5360367206647,-58.4655673994567 -34.535197021891))
42971;1602;1700;1601;1699;CALLE;VEDIA;MULTILINESTRING((-58.46680694286 -34.5358444816661,-58.467209064642 -34.5360559562624))
42968;4802;4900;4801;4899;CALLE;11 DE SEPTIEMBRE DE 1888;MULTILINESTRING((-58.4679299101093 -34.5364326352911,-58.4680645223455 -34.5361017688987))
42967;8502;8600;8501;8599;CALLE;LA CACHILA;MULTILINESTRING((-58.4647726625845 -34.5364613929989,-58.4650265140754 -34.5360367206647))
42966;1302;1500;1301;1499;CALLE;SANTIAGO CALZADILLA;MULTILINESTRING((-58.4623070520927 -34.5356363008895,-58.4644640813531 -34.5366287296129))
42958;4802;4900;4801;4899;CALLE;3 DE FEBRERO;MULTILINESTRING((-58.4690478703052 -34.5369981721039,-58.4693102176615 -34.5366443388437))
42957;1602;1700;1601;1699;CALLE;PICO;MULTILINESTRING((-58.466303000919 -34.536689466693,-58.4675655497756 -34.5373281851267))
42956;4702;4800;4701;4799;CALLE;11 DE SEPTIEMBRE DE 1888;MULTILINESTRING((-58.4675655497756 -34.5373281851267,-58.4679299101093 -34.5364326352911))
42955;8502;8600;8501;8599;AVENIDA;AV. DEL LIBERTADOR;MULTILINESTRING((-58.4658078980402 -34.5374909261444,-58.466303000919 -34.536689466693))
42953;4702;4800;4701;4799;CALLE;3 DE FEBRERO;MULTILINESTRING((-58.4684796001814 -34.5377754900725,-58.4690478703052 -34.5369981721039))
42952;0;0;0;0;AVENIDA;AV. LEOPOLDO LUGONES;MULTILINESTRING((-58.4623070520927 -34.5356363008895,-58.4594426724339 -34.5378016409458))
42950;1902;2000;1901;1999;CALLE;VEDIA;MULTILINESTRING((-58.470162101042 -34.5375639101347,-58.4709220368498 -34.5379498652197))
42949;1602;1700;1601;1699;CALLE;DEHEZA;MULTILINESTRING((-58.4658078980402 -34.5374909261444,-58.4669595605077 -34.5380741579924))
42948;4602;4700;4601;4699;CALLE;11 DE SEPTIEMBRE DE 1888;MULTILINESTRING((-58.4669595605077 -34.5380741579924,-58.4675655497756 -34.5373281851267))
42947;1802;1900;1801;1899;CALLE;PICO;MULTILINESTRING((-58.4684796001814 -34.5377754900725,-58.469400386391 -34.5382567330136))
42946;4702;4800;4701;4799;CALLE;GRECIA;MULTILINESTRING((-58.469400386391 -34.5382567330136,-58.4699531649867 -34.5375112442122))
42945;1702;1750;1701;1749;CALLE;DEHEZA;MULTILINESTRING((-58.4669595605077 -34.5380741579924,-58.4673734378102 -34.5382837300623))
42944;8402;8500;8401;8499;AVENIDA;AV. DEL LIBERTADOR;MULTILINESTRING((-58.4653088710276 -34.5382986514644,-58.4658078980402 -34.5374909261444))
42942;2002;2100;2001;2099;CALLE;VEDIA;MULTILINESTRING((-58.4709220368498 -34.5379498652197,-58.4718493059133 -34.5384208070771))
42941;4802;4900;4801;4899;CALLE;ARCOS;MULTILINESTRING((-58.4718493059133 -34.5384208070771,-58.4721999700685 -34.5379368141454))
42940;1752;1800;1751;1799;CALLE;DEHEZA;MULTILINESTRING((-58.4673734378102 -34.5382837300623,-58.4678991492308 -34.5385499183594))
42939;4602;4700;4601;4699;CALLE;3 DE FEBRERO;MULTILINESTRING((-58.4678991492308 -34.5385499183594,-58.4684796001814 -34.5377754900725))
42938;1902;2000;1901;1999;CALLE;PICO;MULTILINESTRING((-58.469400386391 -34.5382567330136,-58.4703407570253 -34.5387327562404))
42937;4702;4800;4701;4799;CALLE;O' HIGGINS;MULTILINESTRING((-58.4703407570253 -34.5387327562404,-58.4709220368498 -34.5379498652197))
42934;1602;1700;1601;1699;CALLE;ARIAS;MULTILINESTRING((-58.4653088710276 -34.5382986514644,-58.4663904122586 -34.5388436488702))
42933;4502;4600;4501;4599;CALLE;11 DE SEPTIEMBRE DE 1888;MULTILINESTRING((-58.4663904122586 -34.5388436488702,-58.4669595605077 -34.5380741579924))
42932;2102;2200;2101;2199;CALLE;VEDIA;MULTILINESTRING((-58.4718493059133 -34.5384208070771,-58.4727769258683 -34.5388919531049))
42931;4802;4900;4801;4899;CALLE;CUBA;MULTILINESTRING((-58.4727769258683 -34.5388919531049,-58.4731669847394 -34.5383627408097))
42930;1802;1900;1801;1899;CALLE;DEHEZA;MULTILINESTRING((-58.4678991492308 -34.5385499183594,-58.468834578297 -34.5390235588948))
42929;4602;4700;4601;4699;CALLE;GRECIA;MULTILINESTRING((-58.468834578297 -34.5390235588948,-58.469400386391 -34.5382567330136))
42926;2002;2100;2001;2099;CALLE;PICO;MULTILINESTRING((-58.4703407570253 -34.5387327562404,-58.4712699037539 -34.5392029276351))
42925;4702;4800;4701;4799;CALLE;ARCOS;MULTILINESTRING((-58.4712699037539 -34.5392029276351,-58.4718493059133 -34.5384208070771))
42923;4502;4600;4501;4599;CALLE;3 DE FEBRERO;MULTILINESTRING((-58.467323198349 -34.5393277240576,-58.4678991492308 -34.5385499183594))
42920;4802;4900;4801;4899;CALLE;VUELTA DE OBLIGADO;MULTILINESTRING((-58.4737109398968 -34.5393680212786,-58.4741409877838 -34.5387876027444))
42919;1902;2000;1901;1999;CALLE;DEHEZA;MULTILINESTRING((-58.468834578297 -34.5390235588948,-58.4697723159341 -34.5394983893323))
42918;4602;4700;4601;4699;CALLE;O' HIGGINS;MULTILINESTRING((-58.4697723159341 -34.5394983893323,-58.4703407570253 -34.5387327562404))
42916;1602;1700;1601;1699;CALLE;RAMALLO;MULTILINESTRING((-58.4648352800257 -34.5390649638269,-58.4658465288964 -34.5395789094152))
42915;4402;4500;4401;4499;CALLE;11 DE SEPTIEMBRE DE 1888;MULTILINESTRING((-58.4658465288964 -34.5395789094152,-58.4663904122586 -34.5388436488702))
42914;2102;2200;2101;2199;CALLE;PICO;MULTILINESTRING((-58.4712699037539 -34.5392029276351,-58.4721935286955 -34.5396704161727))
