id;nombre;domicilio;piso_dpto;calle;altura;telefonos;web;e_mail;longitud;latitude;geojson
1;Albania;3036 TEDIN, JUEZ;;TEDIN, JUEZ;3036;4809-3574;;ambasada.bue@fibertel.com.ar;-58.4007;-34.5768;"{""type"":""Point"",""coordinates"":[-58.40075,-34.57684]}"
2;Alemania;1055 VILLANUEVA;;VILLANUEVA;1055;4778-2500;www.embajada-alemana.org.ar;;-58.44;-34.5674;"{""type"":""Point"",""coordinates"":[-58.44001,-34.56741]}"
3;Angola;3452 LA PAMPA;;LA PAMPA;3452;4554-8383, 4554-8877;;;-58.4644;-34.571;"{""type"":""Point"",""coordinates"":[-58.46443,-34.57101]}"
4;Arabia Saudita;2881 AGUADO, ALEJANDRO M. DE;;AGUADO, ALEJANDRO M. DE;2881;4802-0760, 4802-4303;http://www.embajadasaudi.org/;embasaudita@fibertel.com.ar;-58.4021;-34.5792;"{""type"":""Point"",""coordinates"":[-58.4021,-34.57922]}"
5;Argelia;1889 MONTEVIDEO;;MONTEVIDEO;1889;4815-1271, 4815-5969;www.mae-dz.org;argeliae@interserver.com.ar;-58.3849;-34.589;"{""type"":""Point"",""coordinates"":[-58.3849,-34.58903]}"
6;Armenia;1922 PACHECO DE MELO, JOSE ANDRES;;PACHECO DE MELO, JOSE ANDRES;1922;4816-8710;www.armeniaforeignministry.com;armenia@fibertel.com.ar;-58.3943;-34.5917;"{""type"":""Point"",""coordinates"":[-58.39428,-34.59173]}"
8;Austria;3671 FRENCH;;FRENCH;3671;4816-0479, 4807-9185;http://www.austria.org.ar,  www.austriantrade.org/ar;buenos-aires-ob@bmaa.gv.at, buenosaires@austriantrade.org;-58.4117;-34.5827;"{""type"":""Point"",""coordinates"":[-58.41175,-34.58272]}"
9;Bielorusia;2166 CAZADORES;;CAZADORES;2166;4788-9394, 4778-3343, 4706-2313,;www.argentina.belembassy.org;argentina@belembassy.org;-58.444;-34.5535;"{""type"":""Point"",""coordinates"":[-58.444,-34.55354]}"
10;Bélgica;113 DEFENSA;Piso 8°;DEFENSA;113;4331-0066, 4331-0067, 4331-0068, 4331-0069;http://www.diplobel.org/argentina/default.htm;buenosaires@diplobel.org;-58.3723;-34.6091;"{""type"":""Point"",""coordinates"":[-58.37233,-34.60911]}"
11;Bolivia;545 CORRIENTES AV.;Piso 2° 6;CORRIENTES AV.;545;4394-1463;www.embajadadebolivia.com.ar;embolivia-baires@ree.gov.bo;-58.3745;-34.6031;"{""type"":""Point"",""coordinates"":[-58.37448,-34.60309]}"
12;Brasil;1350 CERRITO;;CERRITO;1350;4515-2400;www.brasil.org.ar;info@embrasil.org.ar, secom@embrasil.org.ar, turismo@embrasil.org.ar, cultural@embrasil.org.ar;-58.3831;-34.5923;"{""type"":""Point"",""coordinates"":[-58.38308,-34.59227]}"
13;Bulgaria;1568 SUCRE, ANTONIO JOSE de, Mcal.;;SUCRE, ANTONIO JOSE de, Mcal.;1568;4781-8644, 4786-6273;www.embular.int.ar;embular@uolsinectis.com.ar;-58.4467;-34.5592;"{""type"":""Point"",""coordinates"":[-58.44672,-34.55921]}"
14;Canadá;2828 TAGLE;;TAGLE;2828;4808-1000;www.buenosaires.gc.ca;bairs-webmail@international.gc.ca;-58.3979;-34.58;"{""type"":""Point"",""coordinates"":[-58.39786,-34.58]}"
15;República Checa;1461 JUNIN;;JUNIN;1461;4807-3107;http://www.mfa.cz/buenosaires;buenosaires@embassy.mzv.cz;-58.3952;-34.5914;"{""type"":""Point"",""coordinates"":[-58.3952,-34.59139]}"
16;Chile;2762 TAGLE;;TAGLE;2762;4808-8600;;data@embajadadechile.com.ar;-58.3988;-34.5814;"{""type"":""Point"",""coordinates"":[-58.3988,-34.58141]}"
17;China;5349 LARRALDE, CRISOLOGO AV.;;LARRALDE, CRISOLOGO AV.;5349;4547-8100;;;-58.4961;-34.5631;"{""type"":""Point"",""coordinates"":[-58.4961,-34.56309]}"
18;Colombia;1363 PELLEGRINI, CARLOS;Piso 3º;PELLEGRINI, CARLOS;1363;4325-0258, 4325-0494, 4325-1106, 4322-1610;www.embajadacolombia.int.ar;emargent@embajadacolombia.int.ar;-58.3814;-34.5921;"{""type"":""Point"",""coordinates"":[-58.38136,-34.59207]}"
19;República Democrática del Con;1570 FOREST AV.;;FOREST AV.;1570;4552-3942;;rdcbuenos@hotmail.com;-58.4646;-34.5745;"{""type"":""Point"",""coordinates"":[-58.46461,-34.57446]}"
20;República de Corea;2395 DEL LIBERTADOR AV.;;DEL LIBERTADOR AV.;2395;4802-9665, 4802-0923, 4802-1029,;;embcorea@cscom.com.ar;-58.4054;-34.5797;"{""type"":""Point"",""coordinates"":[-58.40537,-34.57968]}"
21;Costa Rica;1769 CALLAO AV.;;CALLAO AV.;1769;4814-1660, 4815-0072;;embarica@fibertel.com.ar;-58.3891;-34.5895;"{""type"":""Point"",""coordinates"":[-58.38912,-34.58953]}"
22;Croacia;2104 GOROSTIAGA;;GOROSTIAGA;2104;4777-6409;;Embajada: croemb.ar@mvpei.hr;-58.4401;-34.5687;"{""type"":""Point"",""coordinates"":[-58.44013,-34.56866]}"
23;Cuba;1810 PINO, Virrey del;;PINO, Virrey del;1810;4782-9049, 4782-9049;;consulado@embacuba.com.ar, argoficemb@ecuargentina.minrex.gov.cu;-58.4462;-34.5631;"{""type"":""Point"",""coordinates"":[-58.44617,-34.56314]}"
24;República Dominicana;830 SANTA FE AV.;Piso 7º;SANTA FE AV.;830;4312-9378, 4894-2078;;;-58.3789;-34.5953;"{""type"":""Point"",""coordinates"":[-58.37891,-34.59532]}"
25;Dinamarca;1074 ALEM, LEANDRO N. AV.;Piso 9;ALEM, LEANDRO N. AV.;1074;4312-6901;www.buenosaires.um.dk;bueamb@um.dk;-58.3729;-34.5954;"{""type"":""Point"",""coordinates"":[-58.37286,-34.59537]}"
27;Egipto;3140 PINO, Virrey del;;PINO, Virrey del;3140;4553-3311;;;-58.4602;-34.5704;"{""type"":""Point"",""coordinates"":[-58.46023,-34.57044]}"
