cui;cueanexo;cue;anexo;dom_edific;otras_entr;dom_establ;nombre_est;nomb_abrev;telefono;nivtip;tipest;sector;depfun;de;comunas;barrio;areaprogra;point_x;point_y;longitude;latitude
1278;20192700;201927;0;24 de Noviembre 900;;24 de Noviembre 900;Inst. Dr. Ramón Carrillo;I Dr R Carrillo;4931-3290;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;6;3;SAN CRISTOBAL;HTAL. DR. J.M. RAMOS MEJÍA;104836;100829;-58.4106;-34.6218
1425;20097700;200977;0;Olleros 2110;O'Higgins 1428;Olleros 2110;Inst. Privado Colegio Master;I Priv Col Master;4514-5470;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;9;14;PALERMO;HTAL. DR. PIROVANO;102011;106793;-58.4414;-34.568
1431;20185000;201850;0;Serrano 1116;;Serrano 1320;Inst. San Gregorio;I San Gregorio;4776-3872;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;9;15;VILLA CRESPO;HTAL. DR. C.G. DURAND;102559;104141;-58.4354;-34.5919
1545;20175600;201756;0;Avda. Crisólogo Larralde 2767;;Avda. Crisólogo Larralde 2767;Inst. R. P. Hansen;I R P Hansen;4702-8630;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;12;SAAVEDRA;HTAL. DR. PIROVANO;99249.9;108723;-58.4715;-34.5506
1805;20039800;200398;0;Avda. Nazca 750;;Avda. Nazca 750;Escuela Integral Maimonides;Esc Int Maimonides;4613-7900 4611-9824;IniCom - PriCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;12;7;FLORES;HTAL. DR. T. ALVAREZ;99118.1;100616;-58.4729;-34.6237
1676;20118600;201186;0;Cullen 5690;Franklin D. Roosevelt 5678;Franklin D. Roosevelt 5678;Inst. Tomás Devoto;I Tomás Devoto;4571-2019;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;16;12;VILLA URQUIZA;HTAL. DR. PIROVANO;97169.7;105855;-58.4941;-34.5765
1700;20019800;200198;0;Helguera 3071;Pedro Lozano 3064;Pedro Lozano 3064;Inst. Schiller;I Schiller;4501-5929/0293;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;17;11;VILLA DEL PARQUE;HTAL. DR. A. ZUBIZARRETA;97225.8;103142;-58.4935;-34.6009
1766;20067200;200672;0;Martiniano Leguizamón 3951;;Aquino 5654;Colegio San Martín de los Andes;Col S M de los Andes;4602-5171;IniCom - PriCom - MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;21;8;VILLA LUGANO;HTAL. DR. F. SANTOJANI;98726.6;94895.5;-58.4772;-34.6753
1477;20001600;200016;0;Avda. Cabildo 2967;;Avda. Cabildo 2967;Escuela Argentina de Psicomotricidad - A.C.E.S;Esc Arg de Psicomotricidad  ACE;4702-5620/1142;SNUCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;10;13;NUÑEZ;HTAL. DR. PIROVANO;100033;108275;-58.4629;-34.5547
206;20153100;201531;0;Humberto I° 102;;Humberto I° 102;Inst. Privado de Educación Técnica y Formación Profesional 13;I Priv de ETéc y Form Profesional;4361-7075;MedCom;No Corresponde - IEIEO (Inst Educ Incorporado a la Eseñanza Oficial);2;Dir Gral de Educación de Gestión Privada;4;1;SAN TELMO;HTAL. DR. C. ARGERICH;108813;100944;-58.3672;-34.6207
