cui;cueanexo;cue;anexo;dom_edific;otras_entr;dom_establ;nombre_est;nomb_abrev;telefono;nivtip;tipest;sector;depfun;de;comunas;barrio;areaprogra;point_x;point_y;longitude;latitude
871;20236312;202363;12;Agustín de Vedia 2519;Cnel  Martiniano Chilavert 1935;Agustín de Vedia 2519;Centro de Actividades Infantiles y Juveniles Club Bajo Flores;CAIyJ Bajo Flores;4919-0677;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;19;7;FLORES;HTAL. DR. P. PIÑERO;102789;97906.1;-58.4329;-34.6481
927;20236313;202363;13;Cañada de Gómez 3850;Balbastro 6148 - Cañada de Gomez 3856;Cañada de Gómez 3850;Centro de Actividades Infantiles y Juveniles Club Mataderos;CAIyJ Mataderos;4602-5172;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;20;8;VILLA LUGANO;HTAL. DR. F. SANTOJANI;97884;94808;-58.4864;-34.6761
949;20236314;202363;14;Avda. Riestra 5030;;Avda. Riestra 5030;Centro de Actividades Infantiles y Juveniles Club Lugano;CAIyJ Lugano;4605-9506;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;21;8;VILLA LUGANO;HTAL. DR. P. PIÑERO;99451;95266.9;-58.4693;-34.6719
201;20236341;202363;41;Azopardo 1504;;Azopardo 1504;Centro de Actividades Infantiles y Juveniles La Boca;CAIyJ La Boca;;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;4;4;BOCA;HTAL. DR. C. ARGERICH;108906;100418;-58.3662;-34.6255
261;20236340;202363;40;Iriarte 3880;;Iriarte 3880;Centro de Actividades Infantiles y Juveniles Zavaleta;CAIyJ Zavaleta;;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;5;4;BARRACAS;HTAL. J.M. PENNA;105448;97609.3;-58.4039;-34.6508
875;20236339;202363;39;Cnel. Martiniano Chilavert 2680;;Cnel. Martiniano Chilavert 2680;Centro de Actividades Infantiles y Juveniles Bajo  Flores;CAIyJ Bajo Flores;;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;19;8;VILLA SOLDATI;HTAL. DR. P. PIÑERO;102093;97073.6;-58.4405;-34.6556
923;20236342;202363;42;Avda. Piedra Buena 3100 y Avda. Eva Perón;;Avda. Piedra Buena 3100 y Avda. Eva Perón;Centro de Actividades Infantiles y Juveniles Mataderos;CAIyJ Mataderos;;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;20;8;VILLA LUGANO;HTAL. DR. F. SANTOJANI;97027;95437;-58.4957;-34.6704
961;20236343;202363;43;Fonrouge 4211;Pola s/n;Pola s/n;Centro de Actividades Infantiles y Juveniles Lugano;CAIyJ Lugano;;Otras;Centros de Actividades Infantiles y Juveniles;1;Dir Gral de Estrategias para Educabilidad;21;8;VILLA LUGANO;HTAL. DR. F. SANTOJANI;99526.9;94783;-58.4685;-34.6763
523;20239800;202398;0;Avda. Crisólogo Larralde 1050;;Avda. Crisólogo Larralde 1050;Esc. de Educación Media N° 03/10°;EEM 03/10;4702-2028;MedCom;Escuela de Educación Media;1;Dir de Educación Media;10;13;NUÑEZ;HTAL. DR. PIROVANO;100964;109721;-58.4528;-34.5416
139;20240000;202400;0;Avda. Entre Ríos 757;Avda. Entre Ríos 751;Avda. Entre Ríos 757;Esc. de Educación Media N° 01/03° E.Reingreso;EEM 01/03 R;4382-9141;MedAdu;Escuela de Educación Media de Reingreso;1;Dir de Educación Media;3;3;BALVANERA;HTAL. DR. J.M. RAMOS MEJÍA;106548;101304;-58.3919;-34.6175
674;20240100;202401;0;Avda. de los Constituyentes 3100;;Avda. de los Constituyentes 3100;Jardín de Infantes Integral N° 04/14;JII 04/14;4521-8026;IniCom;JII (Jardín de Infantes Integral);1;Dir de Educación Inicial;14;15;AGRONOMIA;HTAL. DR, E. TORNÚ;98611.4;104216;-58.4784;-34.5913
