domicilio;caract_sitio;autores;f_e;tamaÑo_mts;ubicacion;tecnica;nombre_obra;lon;lat
Av. Cnel. Roca 1549;"Esc.Téc. 33, De 19, ""fund. M. Del Plumerillo""";Luis Elvera;1950;;Hall central;Oleo sobre soporte rígido;Alegoría a la bandera;;
Av. Cnel. Roca 1549;"Esc.Téc. 33, De 19, ""fund. M. Del Plumerillo""";Luis Elvera;1950;;Hall central;Oleo sobre soporte rígido;Alegoría al Plumerillo;;
Ciudad Universitaria;Pabellón 1 Fac. De Ciencias Exactas;Juan Manuel Sánchez;1965;;hall primer piso;Pintura mural;La ciencia y el mito;;
Ciudad Universitaria;Pabellón 1 Fac. De Ciencias Exactas;Mario Mollari;1965;;planta baja;Pintura mural;La espera;;
Av. Alvear 1761/77;Galería Alvear;Raúl Alejandro Monsegur;1957;;acceso;Pintura al óleo s/ aglomerado;Personajes;;
Av. Córdoba 6551;Vivienda Multifamiliar ;Carlos Pfeiffer, Liliana Ferrari;1997;10 x 22;Fondo - medianera;Esgrafiado;América, Liberación y Grandeza;;
Estación Lima;Pasaje Lima Norte, Línea A;Horacio Altuna;2002;;pasaje;Mural cerámico;Gente de Buenos Aires;;
Estación Lima;Pasaje Lima Sur, Línea A;Hermenegildo Sábat;2000;1,80 x 5;pasaje;Mural cerámico;Músicos de Buenos Aires: a Julio De Caro;;
Estación Lima;Pasaje Lima Sur, Línea A;Hermenegildo Sábat;2000;1,80 x 5;pasaje;Mural cerámico;Músicos de Buenos Aires: a Astor Piazzolla;;
Estación Lima;Pasaje Lima Sur, Línea A;Hermenegildo Sábat;2000;1,80 x 5;pasaje;Mural cerámico;Músicos de Buenos Aires: a Troilo, Manzi, Discépolo y Gardel;;
Estación  Federico Lacroze;Línea B;Emma Gargiulo;2000;;andén sur;Mural cerámico;Título desconocido;;
Estación  Federico Lacroze;Línea B;Gustavo Grünig;1991;;andén sur;Mural cerámico;El desatino;;
Estación Angel Gallardo;Línea B;Margarita Paksa;1991;;andén sur;Mural cerámico;Flores de mi país;;
Estación Angel Gallardo;Línea B;Marcia Schvartz ;1991;;andén sur;Mural cerámico;Título desconocido;;
Estación Callao;Línea B;Daniel Kaplan;1991;;andén sur;Mural cerámico;Título desconocido;;
Estación Callao;Línea B;Héctor Meana;1991;;andén sur;Mural cerámico;Título desconocido;;
Estación Carlos Gardel;Línea B;Andrés Compagnucci;2000;;andén sur;Mural cerámico;Gardel por tres;;
Estación Carlos Gardel;Línea B;Andrés Compagnucci;2000;;andén norte;Mural cerámico;Abasto;;
Estación Carlos Gardel;Línea B;Carlos Páez Vilaró;1998;;vestíbulo;Mural cerámico;Homenaje a Buenos Aires;;
Estación Carlos Gardel;Línea B;Carlos Páez Vilaró;1998;;vestíbulo;Mural cerámico;Mi Buenos Aires querido;;
Estación Carlos Gardel;Línea B;León Untroib;2000;;vestíbulo;Filete;Carlos Gardel: eterno en el alma y en el tiempo;;
Estación Dorrego;Línea B;Roberto Scafidi;1991;;andén sur;Mural cerámico;Título desconocido;;
Estación Dorrego;Línea B;J. Cáceres;1991;;andén sur;Mural cerámico;Canto de amor para América Latina;;
Estación Dorrego;Línea B;Mildred Burton / Passolini, Sundblad;1991;;andén norte;Mural cerámico;A 3 niñas argentinas inmoladas, Gimena Hernández, Nahir Mostafá y María Soledad Morales;;
Estación Dorrego;Línea B;Cambré;1991;;andén sur;Mural cerámico;El duende está en cada movimiento de nuestras vidas;;
Estación Florida;Línea B;Mariano Imposti Indart;1998;;andén norte;Mural cerámico;Homenaje a Patoruzú;;
Estación Medrano;Línea B;Juan Pablo Renzi, col.: Arturo Holzer;1991;;andén sur;Mural cerámico;Durante la criminal guerra del Golfo;;
Estación Medrano;Línea B;Ricardo Roux;1991;;andén norte;Mural cerámico;Título desconocido;;
Estación Pueyrredón;Línea B;Juan Doffo;1991;;andén sur;Mural cerámico;Los elementos;;
Estación Uruguay;Línea B;Francisco Solano López / Alberto Breccia;1991;;andén sur;Mural cerámico;Homenaje a El Eternauta;;
Estación Uruguay;Línea B;Roberto Fontanarrosa;1998;;andén norte;Mural cerámico;Inodoro Pereyra;;
Estación Uruguay;Línea B;Crist (Cristóbal Reynoso);1991;;andén norte;Mural cerámico;Título desconocido;;
Estación San Martín;Línea B;Luis Benedit;2000;;andén norte;Mural cerámico;Sur;;
Estación San Martín;Línea B;Luis Felipe Noé;2007;;andén sur;Mural cerámico;;;
Estación  Av. de Mayo;Línea C;Ignacio Zuloaga y Zabaleta;1934;2 x 4,30;andén oeste;Mural cerámico;Paisajes de España: Acueducto Romano de Segovia;;
Estación  Av. de Mayo;Línea C;Fernando Alvarez Sotomayor;1934;2 x 4,30;andén este;Mural cerámico;Alegoría España - Argentina;;
Estación Constitución;Línea C;Florencio Molina Campos;1999;;andén este;Mural cerámico;Pa nuevos Horizontes;;
Estación Constitución;Línea C;Florencio Molina Campos;1999;;andén este;Mural cerámico;Beyaquiando juerte;;
Estación Constitución;Línea C;Florencio Molina Campos;1999;;andén este;Mural cerámico;Ej de laj once y sais;;
Estación Diagonal Norte;Línea C;Martín S. Noel - Manuel Escasany;1934;1,85 x 15,80;andén norte;Mural cerámico;Paisajes de España: Avila, Toledo, Soria y Segovia;;
Estación Diagonal Norte;Línea C;Martín S. Noel - Manuel Escasany;1934;1,85 x 15,80;andén sur;Mural cerámico;Paisajes de España:Burgos, Madrid, Aranjuez, El Escorial y Madrid, Puerta de Alcalá;;
Estación Independencia ;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,30;andén oeste;Mural cerámico;Paisajes de España: Granada, Córdoba, Ronda, Palos y Huelva;;
Estación Independencia ;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,30;andén este;Mural cerámico;Paisajes de España: Sevilla;;
Estación Lavalle;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,30;andén este;Mural cerámico;Paisajes de España:Alicante, Valencia, Teruel, Huesca, Zaragoza;;
Estación Lavalle;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,30;andén oeste;Mural cerámico;Paisajes de España: Lérida, Tarragona, Barcelona y Monserrat;;
Estación Mariano Moreno;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,30;andén oeste;Mural cerámico;Paisajes de España: Bilbao, Santander, San Sebastián, Alava y Navarra;;
Estación Mariano Moreno;Línea C;Martín S. Noel - Manuel Escasany;1934;1,80 x 16,30;andén este;Mural cerámico;Paisajes de España: Santiago, Lugo, Asturias y Santander;;
