longitud;latitud;altura;calle;tipo;superficie;fecha;tamaño
-58.426836524852511;-34.577719969698215;4801;"SANTA FE, AV.";Hormigón Premold;4.63;20-06-1121;Vado Simple
-58.432053023745581;-34.587562066834501;5198;HONDURAS;Hormigón Premold;4.25;21-11-2006;Vado Simple
-58.432151955432772;-34.587571717686103;1599;URIARTE;Hormigón Premold;4.25;21-11-2006;Vado Simple
-58.428446778898085;-34.577234359217599;4899;"SANTA FE, AV.";Hormigón;2.50;20-06-1121;Vado Simple
-58.432140390001912;-34.58736956777625;5201;HONDURAS;Hormigón Premold;4.25;21-11-2006;Vado Simple
-58.432023995905674;-34.587369538575473;1602;URIARTE;Hormigón Premold;4.25;21-11-2006;Vado Simple
-58.433049008643131;-34.586792785886807;5302;HONDURAS;Hormigón;4.25;20-06-1212;Vado Simple
-58.433048976587415;-34.586883030091506;1798;GODOY CRUZ;Hormigón;4.25;20-06-1212;Vado Simple
-58.425726492256508;-34.575675468287358;478;"BULLRICH, INT., AV.";Hormigón;20.37;12-12-2006;Vado Doble
-58.425831049173624;-34.575888573062279;448;"BULLRICH, INT., AV.";Hormigón;20.37;12-12-2006;Vado Doble
-58.425951692207498;-34.576134975262029;418;"BULLRICH, INT., AV.";Hormigón;20.37;12-12-2006;Vado Doble
-58.426080386096821;-34.576381379748462;388;"BULLRICH, INT., AV.";Hormigón;20.37;12-12-2006;Vado Doble
-58.434370609462803;-34.585761488158077;5430;HONDURAS;Hormigón;5.52;16-01-2007;Vado Simple
-58.425630650929001;-34.575461908633741;508;"BULLRICH, INT., AV.";Hormigón;20.37;16-01-2007;Vado Doble
-58.425543928406888;-34.575305250726188;538;"BULLRICH, INT., AV.";Hormigón;20.37;16-01-2007;Vado Doble
-58.434148256072113;-34.588774083483457;1398;URIARTE;Hormigón;3.83;13-02-2007;Vado Simple
-58.434137714847971;-34.588673500406728;5202;"CABRERA, JOSE, A.";Hormigón;3.83;13-02-2007;Vado Simple
-58.434053051279676;-34.588844030291867;1399;URIARTE;Hormigón;3.83;13-02-2007;Vado Simple
-58.433899708868239;-34.588830874991075;5198;"CABRERA, JOSE, A.";Hormigón;3.83;13-02-2007;Vado Simple
-58.435150420915306;-34.586399736366126;5399;GORRITI;Hormigón;11.86;13-02-2007;Vado Doble
-58.435256136588777;-34.586514553314778;5398;GORRITI;Hormigón;13.29;13-02-2007;Vado Doble
-58.436049087582226;-34.587143358061184;5439;"CABRERA, JOSE, A.";Hormigón;6.29;13-02-2007;Vado Simple
-58.433534720538006;-34.586421673819459;5362;HONDURAS;Hormigón;3.23;13-02-2007;Vado Simple
-58.435032755145308;-34.588070792530893;1598;GODOY CRUZ;Hormigón;7.13;15-03-2007;Vado Simple
-58.434877070717128;-34.587979365907223;1602;GODOY CRUZ;Hormigón;7.79;15-03-2007;Vado Simple
-58.434862004731855;-34.588177805441994;5298;"CABRERA, JOSE ANTONIO";Hormigón;11.44;15-03-2007;Vado Simple
-58.432772214841265;-34.586847873826699;1801;GODOY CRUZ;Hormigón;6.17;15-03-2007;Vado Simple
-58.435385142445185;-34.586432780225223;1598;DARWIN;Hormigón;6.89;15-03-2007;Vado Simple
-58.43615633659919;-34.587054451999684;1502;DARWIN;Hormigón;15.37;15-03-2007;Vado Doble
-58.420327985226457;-34.581411136975682;0;SANTA FE & Pza. Italia;Hormigón;6.15;23-03-2007;Vado Simple
-58.420631010161678;-34.580947940026768;0;SARMIENTO & Pza. Italia;Hormigón;4.80;23-03-2007;Vado Simple
-58.42160497379394;-34.580969141295611;0;THAMES & Pza. Italia;Hormigón;6.86;23-03-2007;Vado Simple
-58.420660900347443;-34.581720119926281;0;"BORGES, JORGE LUIS & Pza. Italia";Hormigón;8.10;23-03-2007;Vado Simple
-58.435525097358372;-34.583368390390234;5602;EL SALVADOR;Hormigón;12.36;12-04-2007;Vado Doble
-58.431282088445066;-34.587024983498004;1671;URIARTE;Hormigón;12.12;12-04-2007;Vado Doble
-58.439837342865353;-34.576889261159756;98;AMENABAR;Hormigón;17.15;14-05-2007;Vado Doble
-58.431160137286263;-34.588167386722482;5098;HONDURAS;Hormigón;13.81;10-05-2007;Vado Doble
-58.431309146442928;-34.588058479580134;5102;HONDURAS;Hormigón Premold;3.53;10-05-2007;Vado Simple
-58.433257226553295;-34.588154964469744;5202;GORRITI;Hormigón;14.81;10-05-2007;Vado Doble
-58.452339015839776;-34.563816327116818;1798;CUBA;Hormigón;14.94;10-05-2007;Vado Doble
-58.438516784894794;-34.575393849973885;2501;"ARENAL, CONCEPCION";Hormigón;4.14;06-06-2007;Vado Simple
-58.438542435094284;-34.575319659911649;102;ZAPATA;Hormigón;4.14;06-06-2007;Vado Simple
-58.438433462241264;-34.57549452684205;2502;"ARENAL, CONCEPCION";Hormigón;4.14;06-06-2007;Vado Simple
-58.438305321500309;-34.575483901993977;98;ZAPATA;Hormigón;4.14;06-06-2007;Vado Simple
-58.438222052871218;-34.57539909087776;99;ZAPATA;Hormigón;4.14;06-06-2007;Vado Simple
-58.438234895186767;-34.575303699699191;2498;"ARENAL, CONCEPCION";Hormigón;4.14;06-06-2007;Vado Simple
-58.433500192048385;-34.580070508607491;5699;SOLER;Hormigón;13.18;06-06-2007;Vado Doble
-58.434570441017399;-34.581015251750514;1999;BONPLAND;Hormigón;3.16;06-06-2007;Vado Simple
-58.434434189105289;-34.58100448741191;5698;NICARAGUA;Hormigón;3.12;06-06-2007;Vado Simple
-58.425404105753636;-34.588111547541146;1898;ARMENIA;Hormigón;10.74;06-06-2007;Vado Doble
-58.438445173277813;-34.575251381894141;101;ZAPATA;Hormigón;4.14;06-06-2007;Vado Simple
-58.438341368256509;-34.575245994787586;2499;"ARENAL, CONCEPCION";Hormigón;4.14;06-06-2007;Vado Simple
-58.462998682700771;-34.570031732290623;1799;CONDE;Hormigón;13.44;06-06-2007;Vado Doble
-58.431017569550505;-34.593515030164141;4699;CORDOBA;Hormigón;18.73;06-06-2007;Vado Doble
-58.429037814033975;-34.592180653555644;4699;"CABRERA, JOSE ANTONIO";Hormigón;13.54;06-06-2007;Vado Doble
-58.429161076996401;-34.59226118379835;1399;MALABIA;Hormigón;18.21;06-06-2007;Vado Doble
-58.440769002293337;-34.57779079657967;99;CRAMER;Hormigón;20.25;13-06-2007;Vado Doble
-58.438872005218421;-34.577562819660507;2;AMENABAR;Hormigón;16.53;13-06-2007;Vado Doble
-58.439949998891265;-34.578438061398955;1;CRAMER;Hormigón;15.97;13-06-2007;Vado Doble
-58.41036986347433;-34.580898768719173;3598;CABELLO;Hormigón;35.11;27-06-2007;Vado Doble
-58.409841116436674;-34.5810554715313;3502;CABELLO;Hormigón;22.86;27-06-2007;Vado Doble
-58.410917884345345;-34.581865364866793;3699;SCALABRINI ORTIZ RAUL;Hormigón;29.38;27-06-2007;Vado Doble
-58.457735937778104;-34.577235193659696;1102;DELGADO;Hormigón;7.35;17-07-2007;Vado Simple
-58.458669604022937;-34.577109890494746;1198;DELGADO;Hormigón;22.02;17-07-2007;Vado Doble
-58.459445363752195;-34.578223136478726;1299;ALVAREZ THOMAS;Hormigón;4.18;17-07-2007;Vado Simple
-58.437167294010742;-34.574263631419974;2402;ARENAL CONCEPCION;Hormigón Premold;2.73;04-07-2007;Vado Simple
-58.429159053419767;-34.59210747993319;4701;CABRERA JOSE A;Hormigón;13.78;04-07-2007;Vado Doble
-58.435269300447217;-34.58948819061353;5201;VEGA NICETO CNEL;Hormigón;12.19;04-07-2007;Vado Doble
-58.435405535696489;-34.589577073428465;1298;URIARTE;Hormigón;13.79;04-07-2007;Vado Doble
-58.435264003236412;-34.58965939257476;5198;VEGA NICETO CNEL;Hormigón;14.04;04-07-2007;Vado Doble
-58.435135626550867;-34.58957917989224;1301;URIARTE;Hormigón;13.76;04-07-2007;Vado Doble
-58.424250651842826;-34.589000750636501;1899;MALABIA;Hormigón;19.44;04-07-2007;Vado Doble
-58.424245484822222;-34.588840381488204;1902;MALABIA;Hormigón;18.38;04-07-2007;Vado Doble
-58.434610931293484;-34.580878976929128;1998;BONPLAND;Hormigón;17.78;04-07-2007;Vado Doble
-58.429949244109501;-34.588770563992874;1602;BORGES JORGE LUIS (plazoleta);Hormigón;3.83;06-08-2007;Vado Simple
-58.430143982664298;-34.58863486547299;1601;BORGES JORGE LUIS (plazoleta);Hormigón;4.19;06-08-2007;Vado Simple
-58.41023834828971;-34.582073465544291;3601;LAS HERAS GRAL;Hormigón;23.78;21-08-2007;Vado Doble
-58.436316398100317;-34.58892837970928;1498;GODOY CRUZ;Hormigón;13.67;31-08-2007;Vado Doble
-58.436194190344068;-34.588827928212879;5301;VEGA NICETO CNEL;Hormigón;12.19;31-08-2007;Vado Doble
-58.436177628563343;-34.589018155980618;1499;GODOY CRUZ;Hormigón;15.08;31-08-2007;Vado Doble
-58.455402669804144;-34.57761946342243;3401;PEREZ GREGORIA;Hormigón;13.17;31-08-2007;Vado Doble
-58.456341819153792;-34.570277218354164;2901;AVILES VIRREY;Hormigón;18.91;31-08-2007;Vado Doble
-58.444774338832495;-34.562018552788878;1602;CAMPOS LUIS M;Hormigón;15.37;31-08-2007;Vado Doble
-58.451131895029263;-34.578290958507523;3299;GARCIA TEODORO;Hormigón;10.39;31-08-2007;Vado Doble
-58.455988073184045;-34.578775428028017;1001;ALVAREZ THOMAS;Hormigón;15.88;31-08-2007;Vado Doble
-58.455813755473962;-34.578843711721376;999;ALVAREZ THOMAS;Hormigón;3.76;31-08-2007;Vado Simple
-58.455838988615319;-34.578798184206683;3498;PEREZ GREGORIA;Hormigón;4.14;31-08-2007;Vado Simple
-58.457158248626385;-34.578485918346011;1099;ALVAREZ THOMAS;Hormigón;3.38;31-08-2007;Vado Simple
-58.457185774873182;-34.578434699536956;3498;ZABALA;Hormigón;3.83;31-08-2007;Vado Simple
-58.457357793276479;-34.578425221991573;1101;ALVAREZ THOMAS;Hormigón;4.13;31-08-2007;Vado Simple
