circunscripcion;direccion;tel;horario;tramites;lat;lon
1º (Central);Uruguay 753;4373-8441/5;Ver cuadro trámites;Entrega de Partidas de 8:30 a 13:30hs. Solicitud de Partidas de 8:30 a 14:30hs. Trámites de DNI y Pasaporte de 7:30 a 19 hs. Resto de los trámites de 9:30 a 14:30 hs.;-34.599885;-58.386687
2º;J. E. Uriburu 1022;CERRADO TEMPORALMENTE;9.30 a 14.30hs;Matrimonios, Unión Civil, Inf. Sumarias, Solicitud y entrega de Partidas.;-34.596667;-58.398843
4ºsubsede;Suarez 2032;4301-6544 / 4628 / 6679 / 6536 / 3867;9.30 a 14.30hs;Matrimonios, Unión Civil, Nacimiento, Inf. Sumarias, Solicitud y entrega de Partidas.;-34.641555;-58.378776
5º;Carlos Calvo 3325;4931-6699 / 4932-5471;9.30 a 14.30hs;Matrimonios, Unión Civil, Nacimiento.;-34.623052;-58.412661
6º;Patricias Argentinas 227;4958-6504;9.30 a 14.30hs;Matrimonios, Unión Civil, Solicitud y Entrega de Partidas, Informaciones Sumarias.;-34.606185;-58.432829
7º;Av. Rivadavia 7202;CERRADO TEMPORALMENTE;9.30 a 14.30hs;Matrimonios, Unión Civil, Nacimientos, Reconocimientos, Inf. Sumarias, Solicitud y Entrega de Partidas.;-34.630155;-58.467002
8º;Av. Coronel Roca 5252;4605-2631;9.30 a 14.30hs;Nacimientos, Reconocimientos, Inf. Sumarias, Solicitud y Entrega de Partidas.;-34.68471;-58.455339
9º;T.Gordillo 2212;4687-2569/2570/2512 ;9.30 a 14.30hs;Inf. Sumarias, Solicitud y Entrega de Partidas.;-34.659691;-58.50509
10º;Bacacay 3968;4636-2898 / 2490 / 2398 / 2262 / 1678;9.30 a 14.30hs;Matrimonios, Nacimientos, Reconocimientos, Inf. Sumarias, Solicitud y Entrega de Partidas.;-34.631815;-58.483567
11º;R. Gutierrez 3254;4504-6044;9:30 a 14:30 hs.;Inf. Sumarias, Nacimiento, Solicitud y Entrega de Partidas, Matrimonios, Unión Civil;-34.601839;-58.495813
12º;Miller 2751;4522-9947 / 4745;9.30 a 14.30hs;Matrimonios, Unión Civil, Inf. Sumarias, Solicitud y Entrega de Partidas.;-34.568793;-58.482917
13º;Cabildo 3067;4702-3748;9.30 a 14.30hs;Matrimonios, Unión Civil, Nacimientos, Reconocimientos, Inf. Sumarias, Solicitud y Entrega de Partidas.;-34.553782;-58.464026
14º;Beruti 3325;4827-5957 / 5954 / 7376;9.30 a 14.30hs;Matrimonios, Unión Civil, Nacimientos, Reconocimientos, Inf. Sumarias, Solicitud y Entrega de Partidas.;-34.587235;-58.409437
15º;Av. Córdoba 5690;4771-1960 / 4771-0750 / 4771-2305;9:30 a 14:30hs;Matrimonios, Unión Civil, Inf. Sumarias, Solicitud y Entrega de Partidas.;-34.586988;-58.441255
